#         x                 p                rho                u        
 1.3827655311e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.4228456914e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.4629258517e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.5030060120e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.5430861723e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.5831663327e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.6232464930e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.6633266533e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.7034068136e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.7434869739e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.7835671343e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.8236472946e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.8637274549e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 1.9038076152e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 1.9438877756e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 1.9839679359e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.0240480962e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.0641282565e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.1042084168e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.1442885772e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.1843687375e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.2244488978e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.2645290581e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.3046092184e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.3446893788e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.3847695391e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.4248496994e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.4649298597e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.5050100200e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.5450901804e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.5851703407e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.6252505010e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.6653306613e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.7054108216e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.7454909820e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.7855711423e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.8256513026e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.8657314629e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.9058116232e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.9458917836e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 2.9859719439e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 3.0260521042e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 3.0661322645e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 3.1062124248e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 3.1462925852e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 3.1863727455e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
 3.2264529058e-01  3.0713446523e-01  1.8614536335e-01  9.1809137949e-01
